bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
32,128,64,1,0.650432,8,8,4D_cublas,8192,8192,256
32,128,64,2,0.649088,8,8,4D_cublas,8192,8192,256
32,128,64,3,0.647264,8,8,4D_cublas,8192,8192,256
32,128,64,4,0.64944,8,8,4D_cublas,8192,8192,256
32,128,64,5,0.645984,8,8,4D_cublas,8192,8192,256
32,128,64,6,0.641184,8,8,4D_cublas,8192,8192,256
32,128,64,7,0.641824,8,8,4D_cublas,8192,8192,256
32,128,64,8,0.643616,8,8,4D_cublas,8192,8192,256
32,128,64,9,0.644544,8,8,4D_cublas,8192,8192,256
16,256,64,0,4.12048,8,8,4D_kernel,8192,8192,256
16,256,64,1,4.11472,8,8,4D_kernel,8192,8192,256
16,256,64,2,4.12592,8,8,4D_kernel,8192,8192,256
16,256,64,3,4.11174,8,8,4D_kernel,8192,8192,256
16,256,64,4,4.11482,8,8,4D_kernel,8192,8192,256
16,256,64,5,4.12486,8,8,4D_kernel,8192,8192,256
16,256,64,6,4.10474,8,8,4D_kernel,8192,8192,256
16,256,64,7,4.12035,8,8,4D_kernel,8192,8192,256
16,256,64,8,4.10922,8,8,4D_kernel,8192,8192,256
16,256,64,9,4.11005,8,8,4D_kernel,8192,8192,256
16,256,64,0,0.669312,8,8,4D_cublas,8192,8192,256
16,256,64,1,0.675136,8,8,4D_cublas,8192,8192,256
16,256,64,2,0.66336,8,8,4D_cublas,8192,8192,256
16,256,64,3,0.664352,8,8,4D_cublas,8192,8192,256
16,256,64,4,0.65664,8,8,4D_cublas,8192,8192,256
16,256,64,5,0.656096,8,8,4D_cublas,8192,8192,256
16,256,64,6,0.659936,8,8,4D_cublas,8192,8192,256
16,256,64,7,0.654624,8,8,4D_cublas,8192,8192,256
16,256,64,8,0.658688,8,8,4D_cublas,8192,8192,256
16,256,64,9,0.652128,8,8,4D_cublas,8192,8192,256
16,64,64,0,48.7276,16,16,4D_kernel,8192,8192,256
16,64,64,1,48.8191,16,16,4D_kernel,8192,8192,256
16,64,64,2,48.8665,16,16,4D_kernel,8192,8192,256
16,64,64,3,48.766,16,16,4D_kernel,8192,8192,256
16,64,64,4,48.778,16,16,4D_kernel,8192,8192,256
16,64,64,5,48.7763,16,16,4D_kernel,8192,8192,256
16,64,64,6,48.6674,16,16,4D_kernel,8192,8192,256
16,64,64,7,48.7489,16,16,4D_kernel,8192,8192,256
16,64,64,8,48.6464,16,16,4D_kernel,8192,8192,256
16,64,64,9,48.6642,16,16,4D_kernel,8192,8192,256
16,64,64,0,0.668864,16,16,4D_cublas,8192,8192,256
16,64,64,1,0.678208,16,16,4D_cublas,8192,8192,256
16,64,64,2,0.669952,16,16,4D_cublas,8192,8192,256
16,64,64,3,0.66688,16,16,4D_cublas,8192,8192,256
16,64,64,4,0.66736,16,16,4D_cublas,8192,8192,256
16,64,64,5,0.668544,16,16,4D_cublas,8192,8192,256
16,64,64,6,0.667808,16,16,4D_cublas,8192,8192,256
16,64,64,7,0.662944,16,16,4D_cublas,8192,8192,256
16,64,64,8,0.666208,16,16,4D_cublas,8192,8192,256
16,64,64,9,0.65856,16,16,4D_cublas,8192,8192,256
16,128,128,0,33.6912,16,16,4D_kernel,8192,8192,256
16,128,128,1,33.5819,16,16,4D_kernel,8192,8192,256
16,128,128,2,33.3283,16,16,4D_kernel,8192,8192,256
16,128,128,3,33.5415,16,16,4D_kernel,8192,8192,256
16,128,128,4,33.4239,16,16,4D_kernel,8192,8192,256
16,128,128,5,33.4217,16,16,4D_kernel,8192,8192,256
16,128,128,6,33.4946,16,16,4D_kernel,8192,8192,256
16,128,128,7,33.5881,16,16,4D_kernel,8192,8192,256
